1							
斯大林	7-80600-850-0	编著刘乐华等	A74				
职业生涯发展与规划	978-7-300-11843-7	罗伯特·C·里尔登[等]著;侯志瑾等译	C91				
青少年网络安全与道德教育	978-7-5004-7906-2	吴琦编著	C91				
青少年问题行为的预防与矫治	978-7-5406-7866-1	黄喜珊著	C91				
破坏性膜拜团体研究	978-7-5004-8433-2	中国社会科学院邪教问题研究中心编	C91				
社会调查与统计	978-7-307-07095-0	主编董海军;编写人员刘珊[等]	C91				
人口原理	978-7-5613-4437-8	(英)托马斯·罗伯特·马尔萨斯著;王惠惠译	C92				
激辩新人口策论	978-7-5004-8390-8	程恩富主编	C92				
管理基础与实务	978-7-5640-2508-3	主编王社民	C93				
管理学	978-7-5640-2541-0	主编张亚;编写人员张亚[等]	C93				
管理三杰	7-5639-1472-2	凡禹主编	C93				
管理学	978-7-5609-4376-3	"主编邹江,谢勇"	C93				
对手团队	978-7-5093-1545-3	宋卫东著	C93				
管理学	978-7-81140-113-4	主编郝云宏;参编王永跃[等]	C93				
管理实验与实验管理学	978-7-302-22218-7	"何斌,李泽莹,王学力著"	C93				
评估	978-7-5624-3994-3	"彼得·罗希,马克·李普希,霍华德·弗里曼"	C93				
管理心理学	978-7-80193-450-5	"邢月梅,李淑梅,卢俏生编著"	C93				
实用管理心理学	978-7-5624-5142-6	主编邹碧海	C93				
管理心理学	978-7-5642-0701-4	毕雪阳主编	C93				
管理运筹学	978-7-300-11655-6	谢家平编著	C93				
办公自动化技术	978-7-307-07279-4	"主编胡艳蓉,刘新竹"	C93				
秘书学概论教程	978-7-81110-492-9	杨树森编著	C93				
管理信息系统	978-7-111-29026-1	"(美)戴维M.克伦克著;李北平,肖爽,董入"	C93				
管理信息系统学习指导	978-7-5640-3027-8	于本海主编	C93				
管理信息系统	978-7-302-22262-0	"刘腾红,向卓元编著"	C93				
管理信息系统	978-7-5641-1445-9	"何有世,刘秋生编著"	C93				
国际著名智库研究	978-7-80745-699-5	主编李轶海	C93				
西方学者论智库	978-7-80745-692-6	金芳[等]著	C93				
中国智库竞争力建设方略	978-7-80745-698-8	李安方[等]著	C93				
咨询心理学	978-7-5617-6898-3	"刘华山,江光荣主编"	C93				
一路走来的感悟	978-7-01-008752-8	"主编韩光宇,周省时,王宁"	C93				
36堂领导课	978-7-5090-0320-6	谢永红著	C93				
聪明的逃式管理人	978-7-80255-351-4	"侯忠义,王峰编著"	C93				
解厄鉴	978-7-5461-1019-6	原典(北宋)晏殊;马树全译注	C93				
韬晦术	978-7-5461-1021-9	原典(明)杨慎;杨明刚译注	C93				
多目标决策	978-7-5478-0036-2	胡毓达著	C93				
将略	978-7-5104-0916-5	袁野著	C93				
笑话中的管理学	978-7-121-10241-7	鲁克德编著	C93				
拿来就用的管理学	978-7-5047-3228-6	白山编著	C93				
大型活动公关	978-7-301-17074-8	陈一收主编	C93				
组织行为管理	978-7-300-11647-1	李剑锋编著	C93				
吾国与吾民	978-7-5613-4411-8	林语堂著;黄嘉德译	C95				
数字化技术时代的中国人文精神	978-7-5610-6050-6	张桂芳著	C95				
弘扬与培育民族精神研究	978-7-5058-8432-8	杨叔子等著	C95				
如何研究中国人	978-7-5624-4904-1	杨中芳著	C95				
辨经的智慧	7-80175-287-2	原著刘邵;解译司马哲	C96				
创新人才与教育创新研究	978-7-5058-7859-4	林崇德等著	C96				
人才资源的经济学分析	978-7-300-07855-7	李志江著	C96				
第一动力	978-7-80745-001-6	主编肖贵玉	C96				
政治学	978-7-5004-7833-1	(古希腊)亚里士多德(Aristotle)著;高书文	D01				
公共政策内容分析方法	978-7-5624-3850-2	编著李钢[等]	D01				
君主论	978-7-5004-8285-7	(意)尼科洛·马基雅弗利著;李修建译	D03				
君王论	978-7-5430-4136-3	(意)马基雅维利著;李汉昭译	D03				
行政文化学概论	978-7-307-07228-2	"洪威雷,芦文龙编著"	D03				
公共管理学	978-7-300-11716-4	张康之主编	D03				
宽容之难	978-7-01-006705-6	"(美)托马斯·斯坎伦著;杨伟清,陈代东等译"	D05				
政治与哲学的共契	978-7-208-08655-5	萌萌学术工作室主编	D05				
古典自由主义	978-7-80716-893-5	大卫·鲍兹著;陈青蓝译	D09				
中国政治思想史	978-7-5000-7975-0	陶希圣著	D09				
英国政治思想史	978-7-01-008323-0	阎照祥著	D09				
古代与现代的争执	978-7-208-08433-9	"林国华,王恒主编"	D09				
多余的话	978-7-5392-5502-6	瞿秋白著	D20				
江泽民思想年编	978-7-5073-2780-9	中共中央文献研究室编	D20				
全球化背景下的中国大党建	978-7-01-008710-8	李慎明著	D26				
民主集中制研究	978-7-80716-747-1	苗佳瑛主编	D26				
新时期中国共产党村级组织建设研究	978-7-01-008963-8	王久高著	D26				
团干部综合知识简明读本	978-7-5640-2682-0	"主编李华伟,曹绪亮"	D29				
被关怀者道德品质的培育	978-7-5338-7787-3	苏静著	D43				
世界著名学府给孩子的成长训言	978-7-5104-0605-8	方舟编著	D43				
80后集体奔三	978-7-80250-171-3	伏建全编著	D43				
妇女参政	978-7-5004-8240-6	周长鲜著	D44				
图说法国女性	978-7-80214-030-1	郭河兵编著	D44				
高科技知识与国际政治权势	978-7-5097-1322-8	黄凤志等著	D56				
政治发展模式比较研究	978-7-5004-8257-4	王彩波著	D52				
中国梦	978-7-5057-2664-2	刘明福著	D60				
中国和平发展的国际环境分析	978-7-5058-8356-7	叶自成等著	D60				
全球化视野下的中国公共政策与管理	978-7-5642-0680-2	"张欣,杨翠迎编著"	D60				
学术与政治之间	978-7-5617-6630-9	徐复观著	D60				
中国现代化发展动力论	978-7-81110-545-2	孙谦著	D61				
发展观的范式变革	978-7-80745-686-5	刘会强著	D61				
第二次革命	978-7-5107-0157-3	中国经济体制改革杂志社主编	D61				
中国电子政务发展报告	978-7-5097-1567-3	"主编王长胜,许晓平"	D63				
人事规划与实务	978-7-5628-2727-6	"本书主编顾铮铮,严庆怡"	D63				
在中国城市中争取公民权	978-7-213-04041-2	"(美)苏黛瑞著;王春光,单丽卿译"	D63				
网络思想政治教育研究	978-7-5058-7605-7	张再兴等著	D64				
中国公民人文素质研究	978-7-5058-7607-1	石亚军等著	D64				
当代中国公民道德状况调查	978-7-01-008851-8	吴潜涛等著	D64				
市场经济条件下社会诚信与青年诚信的构建	978-7-5601-5717-7	"韩凤荣,薛薇,郭亚莉著"	D64				
爱琴海的爱情	978-7-80723-375-6	胡宏霞著	D66				
