1							
斯大林	7-80600-850-0	编著刘乐华等	A74				
中国金文学史	978-7-80730-928-4	白冰著	K87				
新出简帛的学术探索	978-7-303-10864-0	李锐著	K87				
楚地出土____	978-7-5058-8125-9	__等著	K87				
探索中国瓷之源	978-7-80735-655-4	朱建明编著	K87				
殷墟晚商墓葬研究	978-7-303-10895-4	胡进驻著	K87				
中国壁画	978-7-80706-880-8	吴良忠编著	K87				
画像石鉴赏	978-7-5624-4543-2	张道一著	K87				
钟敬文自选集	978-7-81119-423-4	钟敬文著	K89				
一本书读懂中华民俗知识	978-7-5117-0359-0	王晓梅主编	K89				
文明的足迹	978-7-80742-843-5	主编谢宇	K90				
世界国家地理志	978-7-5060-3716-7	韩欣主编	K91				
世界遗产教程	978-7-313-06156-0	主编刘新静	K91				
孔庙史话	978-7-5000-8053-4	《中华文明史话》编委会编译	K91				
人一生要去的60个地方	978-7-5075-2558-8	"陆芳,肖航编著"	K91				
单飞天下	978-7-208-08295-3	(美)特雷莎·威廉姆斯著;张宏浩译	K91				
静谧的那道湾	978-7-81129-216-9	赵欣著	K92				
迈向中国最北端	978-7-81129-213-8	霍明琨著	K92				
山村那边是界江	978-7-81129-212-1	魏影著	K92				
长江史话	978-7-5000-8104-3	《中国文明史话》编委会编著	K92				
绝版古城	978-7-5472-0035-3	《走遍中国》创作组编著	K92				
中国名村风水	978-7-216-05847-6	张觉明著	K92				
长水声闻	978-7-309-07110-8	周振鹤著	K92				
全注全译山海经	978-7-5104-0665-2	"任孚先,于友发译注"	K92				
园林史话	978-7-5000-8056-5	"武少辉,董岩编撰;李琳翻译"	K92				
故宫史话	978-7-5000-8058-9	《中华文明史话》编委会编译	K92				
古塔史话	978-7-5000-7986-6	《中华文明史话》编委会编译	K92				
光影的行走	978-7-5624-4838-9	"歌杜,思别编著"	K92				
徐霞客游记	978-7-5325-5519-2	"(明)徐弘祖著;褚绍唐,吴应寿整理"	K92				
安徽旅游发展研究报告	978-7-81110-670-1	"主编韦伟,江山"	K92				
云南民族村镇旅游	978-7-80695-826-1	"杨旭恒,汪榕主编;撰文汪榕[等]"	K92				
东南亚海岛自助游	978-7-5624-5317-8	黄海明月编著	K93				
老挝泰国自驾游	978-7-5624-5221-8	咏歌闪闪编著	K93				
柬埔寨	978-7-5097-1469-0	李晨阳[等]编著	K93				
阿拉伯联合酋长国	978-7-5097-1439-3	黄振编著	K93				
突尼斯	978-7-5097-1470-6	"杨鲁萍,林庆春编著"	K94				
南非	978-7-5097-1286-3	杨立华主编	K94				
"金色的辉煌,蓝色的梦境"	978-7-5624-5328-4	高宜著·摄	K95				
哥伦比亚	978-7-5097-1521-5	徐宝华编著	K97				
英国历史地图	978-7-5006-8698-9	(英)马丁·吉尔伯特著;王玉菡译	K99				
技术生存论	978-7-5004-8283-3	王能东著	N02				
当代科学哲学的发展趋势	978-7-5058-8452-6	郭贵春等著	N02				
现代科学技术哲学	978-7-01-008773-3	杨玉辉著	N02				
中国古代四大发明	978-7-5304-1671-6	贾卫民编著	N09				
西方科技十二讲	978-7-5366-9126-1	王顺义著	N09				
南宋科技史	978-7-01-007492-4	管成学著	N09				
天工开物	978-7-5470-0191-2	宋应星;顾长安整理	N09				
中国科技十二讲	978-7-5366-9135-3	"杨小明,张怡著"	N09				
南宋科技思想史研究	978-7-01-008867-9	吕变庭著	N09				
魅力前沿·科学	7-200-05961-7	"北京科技记者编辑协会编;曲国斌,杨虚杰主"	N11				
2007科学发展报告	978-7-03-018604-1	中国科学院	N12				
国家实验室的体制机制与技术扩散研究	978-7-313-05737-2	"李建强,黄海洋著"	N24				
现代自然科学概论	978-7-5617-7529-5	主编袁运开;编写王顺义等	N43				
探索自然密码	978-7-80742-830-5	主编谢宇	N49				
自然之门	7-80700-080-5	(英)杰沃弗·桑普著;徐进译	N49				
有限地球时代的怀疑论	978-7-03-019795-5	田松著	N53				
现代科学技术知识词林	978-7-5046-5138-9	王济昌主编	N61				
英汉科技大词典	978-7-121-07282-6	"张福学,李应镛主编"	N61				
灰色粗糙集模型及其应用	978-7-03-023988-4	吴顺祥著	N94				
数学解题策略	978-7-03-025039-1	"朱华伟,钱展望著"	O10				
数学与自然科学之哲学	978-7-5428-4373-9	(德)赫尔曼·外尔著;齐民友译	O10				
数学文化	978-7-302-18850-6	方延明编著	O10				
数学史	978-7-300-11826-0	"(英)斯科特著;侯德润,张兰译"	O11				
数学的故事	978-7-5443-0394-1	理查德·曼凯维奇著;冯速等译	O11				
400个中国最佳初等数学征解老问题	978-7-5603-2919-2	刘培杰主编	O12				
风靡全球的心算法	978-7-81127-854-5	(英)瓦利·纳瑟著;朱凯莉译	O12				
数学奥林匹克不等式研究	978-7-5603-2926-0	杨学枝著	O12				
初等数学复习及研究(平面几何)习题解答	978-7-5603-2789-1	尚强编著	O12				
高等数学学习指导	978-7-5640-2819-0	主编房阁	O13				
高等数学	978-7-5605-3175-5	"主编王大猛,李治明"	O13				
高等数学	978-7-5605-3006-2	主编李伟	O13				
大学文科数学	978-7-5640-2875-6	赵志红[等]编	O13				
高等数学学习指导	978-7-302-21549-3	"陶有山,尤苏蓉,谢峰等编"	O13				
高等数学学习指导	978-7-309-06499-5	主编张圣勤	O13				
高等数学学习指导	978-7-309-06500-8	主编朱泰英	O13				
高等数学全程导学及习题全解	978-7-5628-2613-2	"张丽蕊,陈海杰,刘明华主编"	O13				
高等数学全程导学及习题全解	978-7-5628-2677-4	"张丽蕊,陈海杰,刘明华主编"	O13				
高等数学解题指导	978-7-03-022077-6	"柴俊,丁大公,王一令编"	O13				
历届PTN美国大学生数学竞赛试题集	978-7-5603-2776-1	"冯贝叶,许康,侯晋川等编译"	O13				
考研数学10年真题点评	978-7-5640-0712-6	陈文灯主编	O13				
数学单选题解题方法与技巧	978-7-5640-1017-1	主编陈文灯	O13				
武汉大学高等数学试卷汇编	978-7-307-07198-8	"胡新启,湛少锋编著"	O13				
走进教育数学	978-7-03-025040-7	沈文选著	O14				
从数学竞赛到竞赛数学	978-7-03-025038-4	朱华伟著	O14				
数学的神韵	978-7-03-025981-3	李尚志著	O14				
基于图式的数学学习研究	978-7-5633-7732-9	王兄著	O14				
数学建模与实验	978-7-03-021163-7	"陈恩水,王峰编"	O14				
数学建模	978-7-03-024605-9	"李德宜,李明主编"	O14				
数学建模与数学实验	978-7-03-026502-9	"汪晓银,周保平主编"	O14				
数理逻辑	978-7-5004-8543-8	张清宇主编	O14				
非经典数理逻辑与近似推理	978-7-03-021295-5	王国俊著	O14				
数学犹聊天	978-7-5428-4772-0	"(美)基思·德夫林著;谈祥柏,谈欣译"	O14				
"啊哈,灵机一动"	978-7-03-019586-9	"(美)马丁·伽德纳著;李建臣,刘正新译"	O14				
智慧的源泉	978-7-80742-848-0	主编谢宇	O14				
数学狂想曲	7-80188-814-6	(德)福尔克·泊尔斯著;马怀琪译	O14				
高等代数学习指南	978-7-301-12905-0	蓝以中编著	O15				
高等代数(第五版)全程导学及习题全解	978-7-80221-940-3	"主编马訾伟,杜炜,闫晓红"	O15				
线性代数	978-7-302-17760-9	邓辉文编	O15				
线性代数与解析几何教程	978-7-03-025044-5	"樊恽,刘宏伟编"	O15				
线性代数与解析几何教程	978-7-03-025045-2	"樊恽,刘宏伟编"	O15				
线性代数学习指导	978-7-03-027016-0	"孟昭为,赵文玲,孙锦萍主编"	O15				
线性代数	978-7-03-024315-7	"余胜春,李德宜主编"	O15				
线性代数	7-5624-2092-0	"浦奎源,颜军,阴文革编著"	O15				
线性代数学习指导	978-7-302-17103-4	王萼芳编著	O15				
线性代数同步辅导与考研指津	978-7-5628-2205-9	"毕恺,尚德庆主编"	O15				
线性代数	978-7-5608-4300-1	同济大学数学系编著	O15				
矩阵不等式	7-03-016494-6	"王松桂,吴密霞,贾忠贞编著"	O15				
矩阵论	7-5612-1135-X	"程云鹏,张凯院,徐仲主编"	O15				
矩阵分析	978-7-5640-3189-3	"史荣昌,魏丰编著"	O15				
矩阵论	978-7-5609-3046-6	"杨明,刘先忠"	O15				
经济数学·(线性代数)·解题方法技巧归纳	978-7-5609-1763-4	毛纲源编	O15				
线性代数习题全解	978-7-300-11897-0	张学奇主编	O15				
话说对称	978-7-03-026903-4	梁昌洪编著	O15				
布尔代数及其泛化结构	978-7-03-016987-7	杨炳儒著	O15				
域和Galois理论	978-7-03-023761-3	南基洙编	O15				
近世代数讲义	978-7-03-023546-6	杨劲根编著	O15				
图论与网络最优化算法	978-7-5624-5079-5	龚劬编	O15				
离散数学辅导与习题解答	978-7-5609-4705-1	梅家斌[等]编	O15				
离散数学	978-7-5617-6765-8	"主编章炯民,陶增乐"	O15				
离散数学	978-7-81123-541-8	"陈敏,罗庆云主编"	O15				
英汉数学词汇	978-7-302-21341-3	"张鸿林,葛显良编订"	O16				
数学分析的方法与技巧选讲	978-7-03-024348-5	定光桂著	O17				
数学分析讲义(第五版)全程导学及习题全解	978-7-80221-946-5	"主编马訾伟,闫晓红"	O17				
数学分析讲义(第五版)全程导学及习题全解	978-7-80221-947-2	"主编马訾伟,闫晓红"	O17				
数学分析选讲	978-7-118-06946-4	"郝涌,李学志,陶有德编著"	O17				
微积分快餐	978-7-03-025043-8	林群著	O17				
微积分	978-7-5123-0033-0	"主编王立冬,周文书;编写马玉梅[等]"	O17				
微积分学习与提高	978-7-03-022862-8	"柳翠华,王志宏,熊德之主编"	O17				
数学复习辅导	978-7-313-06458-5	硕士研究生入学统一考试数学命题研究中心编	O17				
微积分	978-7-5628-2685-9	主编柴惠文	O17				
微积分	978-7-5438-6023-0	"主编方涛,朱丹"	O17				
微积分学同步辅导	978-7-5609-5683-1	华中科技大学微积分课题组编	O17				
微积分学习指导	978-7-5609-5502-5	主编刘国钧	O17				
实变函数	978-7-5641-1534-0	"张建平,丘京辉编"	O17				
实用Fourier变换及C++实现	978-7-03-023285-4	孙鹤泉编著	O17				
复变函数教程	978-7-03-022506-1	扈培础编著	O17				
复变函数疑难分析与解题方法	978-7-5609-5926-9	"孙清华,孙昊"	O17				
常微分方程	978-7-302-17761-6	"焦宝聪,王在洪,时红廷编著"	O17				
偏微分方程基本理论	978-7-03-022806-2	王明新编著	O17				
非线性波动方程的现代方法	978-7-03-027037-5	苗长兴著	O17				
弹性波动方程的有限差分数值方法	978-7-302-19028-8	孙卫涛编著	O17				
Camassa-Holm方程	978-7-03-021706-6	郭柏灵[等]著	O17				
常微分算子谱论	978-7-03-023157-4	刘景麟著	O17				
泛函微分方程的相空间理论及应用	978-7-03-023675-3	"王克,范猛著"	O17				
算子范数与Hilbert型不等式	978-7-03-023339-4	杨必成著	O17				
线性空间引论	978-7-302-20130-4	"陈恭亮,叶明训,郑延履编著"	O17				
Sobolev空间与偏微分方程引论	978-7-03-024349-2	王术编著	O17				
泛函分析学习指南	978-7-301-14387-2	林源渠编著	O17				
空间结构与几何对象	978-7-03-026960-7	高红卫著	O18				
计算几何中的几何偏微分方程方法	978-7-03-022730-0	徐国良著	O18				
空间解析几何	978-7-312-02427-6	"主编欧宜贵,李文雅"	O18				
解析几何	978-7-5628-2519-7	"秦衍,杨勤民主编"	O18				
几何新方法和新体系	978-7-03-025042-1	张景中著	O18				
可展曲面的构造与插值研究	978-7-313-06164-5	孟雅琴著	O18				
点集拓扑学	978-7-03-020451-6	"程吉树,陈水利编著"	O18				
微分拓扑	978-7-302-18254-2	"徐森林,胡自胜,薛春华编著"	O18				
基础拓扑学导引	978-7-03-023674-6	"李进金,李克典,林寿编著"	O18				
概率论与数理统计	978-7-313-01984-4	"上海交通大学数学系组编;冯卫国,武爱文编"	O21				
概率论与数理统计	978-7-03-023914-3	"叶慈南,刘锡平主编"	O21				
概率论与数理统计及其应用	978-7-03-025111-4	"刘吉定,张志军,严国义主编"	O21				
概率论与数理统计学习指导	978-7-111-29886-1	"主编王逸迅;参编马新民,张瑞平,张德生"	O21				
概率论与数理统计疑难分析与解题方法	978-7-5609-5881-1	"孙清华,孙昊"	O21				
概率论与数理统计	978-7-03-018498-6	上海交通大学数学系编	O21				
概率论与数理统计	978-7-5609-5086-0	主编刘次华	O21				
概率论与数理统计学习指导	978-7-81102-455-5	"主编高春,吴素文,张萍"	O21				
概率论与数理统计同步辅导与考研指津	978-7-5628-2768-9	秦衍主编	O21				
概率初步	978-7-302-17665-7	陆璇编著	O21				
概率论与统计学	978-7-307-07631-0	"茆诗松,贺思辉编著"	O21				
非参数蒙特卡罗检验及其应用	978-7-03-022578-8	"朱力行,许王莉著"	O21				
概率论与数理统计习题详解	978-7-5643-0281-8	"李裕奇,赵联文,刘海燕编"	O21				
组合预测方法有效性理论及其应用	978-7-03-020213-0	陈华友著	O22				
非光滑优化	978-7-03-021502-4	高岩著	O22				
运筹学习题详解与考研辅导	978-7-5609-4331-2	主编罗荣桂	O22				
动态合作博弈	978-7-03-023873-3	"高红伟,(俄)彼得罗相著"	O22				
带熵博弈论及其应用	978-7-03-022570-2	姜殿玉著	O22				
博弈论与非线性分析	978-7-03-020720-3	俞建著	O22				
模式识别原理	978-7-5639-2033-4	"孙亮,禹晶编著"	O23				
人工边界方法	978-7-302-20539-5	"韩厚德,巫孝南著"	O24				
数值分析学习指导	978-7-302-18638-0	关治编	O24				
数值计算方法	978-7-03-023428-5	黄云清[等]编著	O24				
数值计算	978-7-5624-5049-8	"何光辉,董海云,魏曙光编"	O24				
数值分析	978-7-5640-3107-7	"史万明,吴裕树,孙新编著"	O24				
数值分析	978-7-03-026265-3	"陈晓江,黄樟灿主编"	O24				
应用数学基础	978-7-03-022778-2	"吴晓平,秦艳琳编著"	O29				
理论力学学习指导与习题解析	978-7-03-020285-7	鞠国兴编著	O31				
理论力学(理论力学·第六版)全析精解	978-7-5612-2445-8	主编张天军	O31				
理论力学学习指导与题解	978-7-111-29857-1	"王永廉,唐国兴,王晓军编"	O31				
理论力学	978-7-81123-460-2	主编税国双	O31				
理论力学一题多解范例	978-7-302-15028-2	江晓仑主编	O31				
计算固体力学	978-7-313-02457-2	刘正兴[等]编著	O34				
结构力学全程导学及习题全解	978-7-80221-370-8	"主编王瑞凤,李志萍"	O34				
趣味力学	978-7-5006-9080-1	(俄)别莱利曼著;符其_译	O34				
流体力学	978-7-5624-2369-0	梁智权主编	O35				
流体力学	978-7-5024-5160-8	"主编李福宝,李勤"	O35				
物理学习题辅导与解答	978-7-5609-4369-5	周逊选编	O43				
普通物理教程	978-7-03-023008-9	宋庆功主编	O43				
何为科学真理	978-7-5428-4813-0	罗杰·G·牛顿著;武际可译	O43				
物理学学科发展研究报告	978-7-03-020142-3	国家自然科学基金委员会数学物理科学部	O43				
《新编基础物理学》习题分析与解答	978-7-03-024527-4	"施昌勇,杨桂娟主编"	O43				
大学物理	978-7-03-024643-1	郭进主编	O43				
大学物理	978-7-5605-3286-8	张学恭	O43				
大学物理	978-7-5605-3370-4	张学恭	O43				
大学物理	978-7-5605-2629-4	主编吴百诗	O43				
大学物理	978-7-5605-2749-9	主编吴百诗	O43				
大学物理	978-7-5605-3261-5	主编吴百诗	O43				
大学物理	978-7-5605-3260-8	主编吴百诗	O43				
大学物理学	978-7-81110-675-6	韩家骅主编	O43				
大学物理学	978-7-81110-374-8	韩家骅主编	O43				
大学物理学	978-7-81110-478-3	韩家骅主编;韩家骅[等]编著	O43				
普通物理学辅导	978-7-5023-5539-5	主编林丽	O43				
大学物理学学习指导	978-7-5635-1784-8	主编赵近芳	O43				
物理学教程(第二版)全程导学及习题全解	978-7-80221-521-4	主编苗明川	O43				
普通物理学(第六版)全程导学及习题全解	978-7-80221-517-7	"王金良,王天磊,杨增逵编"	O43				
普通物理学辅导讲案	978-7-5612-2368-0	"汤毓骏主编;汤毓骏,陈嘉鹏,怀国桢编著"	O44				
物理学哲学导论	978-7-01-006401-7	"吴国林,孙显耀著"	O40				
物理学史	978-7-300-11825-3	(美)弗·卡约里著;戴念祖译	O40				
物理定律是如何撒谎的	978-7-5428-4485-9	(英)南希·卡特赖特著;贺天平译	O41				
数学物理方法学习指导典型题解	978-7-5605-1464-2	李惜雯	O41				
相对论与相对论重力测量	978-7-307-06384-6	"申文斌,宁津生,晁定波编著"	O41				
引斥论	978-7-80730-671-9	徐韶辉著	O41				
量子物理学中的常用算法与程序	978-7-5603-2981-9	"井孝功,赵永芳,蒿凤有编著"	O41				
量子力学基础教程	7-5607-2475-2	陈鄂生[著]	O41				
窥探上帝的秘密	978-7-100-05957-2	杨建邺著	O41				
爱因斯坦的幽灵	978-7-5640-2754-4	"郭光灿,高山著"	O41				
大自然的基本力	978-7-5326-2827-8	"(美)黄克孙著;杨建邺,龙芸译"	O41				
大学物理实验	978-7-111-28894-7	"主编陈子栋,潘伟珍;参编陈厚田,李雪"	O43				
大学物理实验教程	978-7-03-020876-7	"吴锋,张昱主编"	O43				
大学物理实验教程	978-7-03-023917-4	"李钰,李云宝主编"	O43				
大学物理实验教程	978-7-03-022639-6	王云才主编	O43				
大学物理实验	978-7-302-17105-8	《大学物理实验》编写组编著	O43				
大学物理实验	978-7-115-22613-6	"通识教育规划教材编写组组编;孙彬,李延强"	O43				
随机粗糙面散射的基本理论与方法	978-7-03-026124-3	"郭立新,王蕊,吴振森编著"	O44				
电磁场与电磁波学习指导与习题详解	978-7-5623-3262-6	马冰然编著	O44				
电磁场理论基础	978-7-5640-3141-1	"陈重,崔正勤,胡冰编著"	O44				
高等电磁学基础	978-7-80730-801-0	"吴孟齐,吴纬,魏玉兰著"	O44				
电动力学第二版全程导学及习题全解	978-7-80221-379-1	主编金硕	O44				
大学物理实验教程	978-7-03-023263-2	李长真主编	O44				
最新大学物理440典型题	7-80159-258-1	黄树森主编	O44				
趣味物理学问答	978-7-5006-9081-8	"(俄)别莱利曼著;李哲,王文迪译"	O44				
物理的玄机	978-7-5308-2186-2	"(俄)贝列里门著;吴超宇,吴真贞编译"	O44				
物质究竟是什么	978-7-80763-256-6	皮可慰著	O55				
孤子理论中的直接方法	978-7-302-17378-6	(日)_田良吾著;王红艳[等]译	O57				
你不知道的宇宙大爆炸	978-7-5633-6621-7	(荷)霍弗特·席林著;乔修峰译	O57				
工科化学	7-5025-9183-4	江棂主编	O62				
工科化学学习指导	978-7-5025-9489-3	刘玉林主编	O62				
中国古代化学	978-7-5304-1676-1	田荷珍编著	O60				
无机化学学习指导	978-7-03-017517-5	竺际舜主编	O61				
无机化学	978-7-03-025472-6	"刘德育,刘有训主编"	O61				
无机化学	978-7-03-019153-3	黄可龙主编	O61				
酞菁类化合物的结构、光谱及OFET性质研究	978-7-207-08452-1	蔡雪著	O61				
硒的化学、生物化学及其在生命科学中的应用	978-7-5609-5393-9	"主编黄开勋,徐辉碧"	O61				
无机化学实验	978-7-313-05888-1	主编周祖新	O61				
无机与分析化学实验	978-7-5628-2622-4	"主编邢宏龙;参编黄若峰,朱文晶"	O61				
有机化学	978-7-03-022044-8	陈长水主编	O62				
有机成名反应、试剂和缩略词	978-7-5628-2302-5	"荣国斌,马汝建编"	O62				
有机化学中的螺共轭效应和异头效应	978-7-03-023110-9	"魏荣宝,何旭斌,欧其等编著"	O62				
有机合成化学	978-7-03-018738-3	"高桂枝,陈敏东编著"	O62				
开放骨架金属硫酸盐的水热合成研究	978-7-03-021350-1	付云龙著	O62				
甘油	978-7-122-02229-5	"张金廷,胡培强,施永诚等编著"	O62				
有机化学实验	978-7-03-023068-3	崔玉主编	O62				
有机化学习题精解	978-7-03-022036-3	"冯骏材,丁景范,吴琳编著"	O62				
有机化学习题精解	978-7-03-022037-0	"冯骏才,丁景范,吴琳编著"	O62				
有机硅化合物化学	978-7-122-07554-3	"张招贵,刘峰,余政编著"	O62				
普通化学实验	978-7-122-00852-7	李聚源主编	O63				
大学基础化学实验	7-5025-6760-7	"方国女,王燕,周其镇编"	O63				
普通化学实验	978-7-5628-2621-7	主编倪惠琼	O63				
化学测量实验	978-7-303-10680-6	"祖莉莉,胡劲波主编;北京师范大学化学实验"	O63				
多组分聚合物结构与性能	978-7-122-07907-7	"王国建,邱军编著"	O63				
高分子物理教程	7-5025-8361-0	"柯扬船,何平笙主编"	O63				
物理化学导学	7-03-017245-0	陈亚芍主编	O64				
物理化学学习指南	978-7-5611-4090-1	"田福平,林青松主编"	O64				
高等配位化学	978-7-5628-2481-7	朱龙观主编	O64				
结构化学	978-7-03-021813-1	"厦门大学化学系物构组编;林梦海,谢兆雄执"	O64				
21世纪化学类专业研究生教育成果与展望	978-7-5628-2570-8	"郑半荪,张玉奎主编"	O64				
物理化学实验	978-7-03-023191-8	袁誉洪主编	O64				
物理化学实验	978-7-03-023753-8	何畏主编	O64				
表面化学分析	978-7-5628-2001-7	黄惠忠等编著	O64				
物质的构成	978-7-80742-850-3	主编谢宇	O64				
分析化学	978-7-5611-4423-7	大连理工大学分析化学教研室编著	O65				
分析化学	978-7-5650-0149-9	"主编陈庆榆,张雪梅"	O65				
分析化学计算基础	7-5025-3497-0	"王令今,王桂花编著"	O65				
分析化学辅导与习题详解	978-7-5609-4257-5	"赵中一,邱海鸥编"	O65				
分析化学学习与考研指津	978-7-5628-2776-4	主编樊行雪	O65				
分析化学简明手册	978-7-122-07476-8	"周春山,符斌主编"	O65				
核磁共振谱学	978-7-122-07165-1	王乃兴编著	O65				
有机波谱分析	978-7-307-07071-4	"孟令芝,龚淑玲,何永炳编著"	O65				
现代波谱分析方法	978-7-5628-2513-5	林贤福编著	O65				
近代分析测试技术	978-7-5640-2293-8	"李占双,景晓燕,王君编著"	O65				
新编仪器分析实验	978-7-03-022919-9	高向阳主编	O65				
现代仪器分析实验	978-7-122-02342-1	"董社英主编;马彩莲,赵平贤,韩秋萍编写"	O65				
英汉化学词汇	7-302-12637-2	王宝_主编	O66				
化学物质俗名手册	978-7-122-03225-6	万有志主编	O66				
欧洲天文学东渐发微	978-7-80678-662-8	"江晓原,钮卫星著"	P10				
神奇的宇宙	978-7-80742-825-1	主编谢宇	P14				
趣味天文学	978-7-5006-9079-5	"别莱利曼(俄)著;滕砥平,唐克译"	P14				
解码宇宙	978-7-5428-4970-0	查尔斯·塞费著;隋竹梅译	P15				
地球人看到的	978-7-5439-3878-6	"编著郑艳秋,赵斌,朱幼文"	P18				
历史的变迁	978-7-80742-833-6	主编谢宇	P49				
石雅	978-7-5306-5170-4	章鸿钊著	P61				
蓝色的国土	978-7-80742-854-1	主编谢宇	P74				
人、船与海洋的故事	978-7-313-06305-2	"杨_,陈伯真编著"	P74				
生物进化与分类原理	978-7-03-022602-0	周长发编著	Q13				
普通生物学实验指导	978-7-5641-2185-3	"仇存网,刘忠权,吴生才编著"	Q13				
现代生命科学导论	978-7-5617-7458-8	陈铭德编著	Q10				
物种起源	978-7-229-01215-1	(英)查理·达尔文著;钱逊译	Q11				
数学模型在生态学的应用及研究	978-7-5027-7490-5	"杨东方,苗振清编著"	Q14				
细胞生物学辅导与习题详解	978-7-5609-4762-4	主编何玉池	Q22				
干细胞原理、技术与临床	7-5025-8155-3	赵春华主编	Q24				
生物标本的采集、制作、保存与管理	978-7-03-027038-2	伍玉明等编著	Q34				
DNA	978-7-208-09095-8	"(美)詹姆斯·沃森,(美)安德鲁·贝瑞著;"	Q34				
生命的密码	978-7-80742-832-9	主编谢宇	Q49				
生物分析化学	978-7-03-018349-1	"鞠_先,邱宗荫,丁世家等著"	Q51				
生物化学基础	978-7-122-00590-8	靳利娥等编	Q51				
生物化学学习与考研指津	978-7-5628-2804-4	"主编龚兴国,史锋,史影"	Q51				
生物化学技术原理及应用	978-7-03-021562-8	赵永芳主编	Q50				
生物化学实验	978-7-03-021761-5	陈钧辉[等]编	Q53				
超氧化物歧化酶	978-7-5628-2450-3	主编袁勤生	Q55				
实用化妆品配方手册	978-7-122-06143-0	"李东光,翟怀凤主编"	Q65				
生物芯片技术与实践	978-7-03-027083-2	"(英)史蒂夫·拉塞尔,莉萨·梅多斯,罗斯"	Q78				
生物信息学	7-03-012894-X	"(英)D.R.韦斯特海德,(英)J.H.帕里什,(英)"	Q81				
生物催化工程	978-7-5628-2428-2	主编许建和	Q81				
酶工程技术	978-7-5622-4106-5	"主编吴士筠,周岿,张凡"	Q81				
微生物功能基因组学	978-7-5025-9921-8	"(美)周集中[等]著;张洪勋,赵立平等"	Q93				
植物学辅导与习题详解	978-7-5609-5925-2	主编黄燕文	Q94				
植物生物活性物质	7-5025-6097-1	唐传核编著	Q94				
植物细胞遗传学	978-7-03-022065-3	"宋同明,陈绍江主编"	Q94				
庐山植物园最初三十年	978-7-313-05562-0	胡宗刚著	Q94				
植物的策略	978-7-5624-5296-6	张家荣编著	Q94				
植物的策略	978-7-5624-5278-2	张家荣编著	Q94				
植物生理学辅导与习题解答	978-7-5609-4374-9	"主编罗红艺,邱保胜"	Q94				
植物生理学实验技术	978-7-5025-9757-3	"郝建军,康宗利,于洋主编"	Q94				
植物园的四季	978-7-122-00658-5	"王康,邴艳红,张佐双编著"	Q94				
水边记忆	978-7-5624-5034-4	韩开春著	Q94				
常见蘑菇野外识别手册	978-7-5624-5331-4	"主编肖波,范宇光"	Q94				
那些花儿	978-7-5624-4846-4	郭宪著	Q94				
贵州野生草本花卉	978-7-80662-566-8	主编徐来富	Q94				
野外维生食物	978-7-5624-4847-1	王九棠著	Q94				
动物学辅导与习题解答	978-7-5609-5010-5	主编王国秀	Q95				
追求无残酷的文化	978-7-208-08672-2	"莽萍,菡月编"	Q95				
濒危的美丽生灵	978-7-5008-2528-9	孙世主编;马洪杰编著	Q95				
寄生虫生物学研究与应用	978-7-5025-9416-9	潘卫庆主编	Q95				
鸟的故事	978-7-80588-738-8	(美)约翰·巴勒斯著;董继平译	Q95				
熊猫史诗	978-7-5366-9170-4	方敏著	Q95				
昆虫之美	978-7-5624-4674-3	李元胜著	Q96				
中国瓢虫亚科图志	978-7-122-06784-5	虞国跃著	Q96				
神农架野人	978-7-5472-0037-7	《走遍中国》创作组编著	Q98				
人类学的四个讲座	7-300-06742-5	"(美)安德鲁·斯特拉森,帕梅拉·斯图瓦德"	Q98				
人类学诗学	978-7-300-11322-7	(美)伊万·布莱迪编;徐鲁亚等译	Q98				
什么是医学史	978-7-301-16635-2	(美)约翰·伯纳姆著;颜宜葳译	R09				
质性研究方法	978-7-5624-4720-7	"普拉尼·利亚姆帕特唐,道格拉斯·艾子著;"	R18				
有机溶剂职业病危害防护实用指南	978-7-122-01526-6	张维森主编	R13				
这样吃最健康	978-7-5317-2416-2	姜淑惠著	R15				
36种你应当心的常见食物	978-7-5624-4837-2	李元勤著	R15				
健康生活比吃药更管用	978-7-80222-999-0	韩彪著	R16				
长寿之道	978-7-80742-826-8	主编谢宇	R16				
实用人体保健手册	978-7-5337-4189-1	"主编窦国祥,窦勇"	R16				
优睡眠	978-7-5381-5699-7	(日)斋藤恒博著;曹佳俊译	R16				
睡商	978-7-02-006989-7	"(德)蒂阿·赫罗尔德,英戈·费著;强朝晖译"	R16				
中国医疗保障制度改革研究	978-7-307-05868-2	"张奇林,杨红燕著"	R19				
健康的价值与健康不平等	978-7-300-11925-0	"刘民权,顾昕,王曲主编"	R19				
练瑜伽就这么简单	978-7-5330-3107-7	海宁著	R21				
特效经穴对症治疗图解	978-7-5605-3238-7	"编著幸小玲,周新"	R22				
古经今悟	978-7-5326-3067-7	陈绍华著	R22				
上工养生话刮痧	978-7-5605-3411-4	"本册主编崔承斌,范永红,周勇"	R24				
素食保健手册	978-7-5308-5001-5	君子编著	R24				
拔罐	978-7-5605-3385-8	"主编郭长青,张慧方,张学梅"	R26				
中药材干燥原理与技术	978-7-122-00304-1	朱文学等编著	R28				
心理危机干预研究	978-7-5106-0132-3	陈道明著	R39				
督导与反思	978-7-5617-7088-7	叶斌主编	R39				
心理咨询师手记	978-7-115-22742-3	曹立萍著	R39				
健康心理学	978-7-5338-7849-8	沈晓红编著	R39				
